Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
12/1/2006,230.0,223.95,234.9,222.3,118220.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/4/2006,225.8,230.45,233.8,222.0,132965.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/5/2006,232.85,260.6,264.0,232.85,833517.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/6/2006,263.0,244.6,263.4,243.25,321121.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/7/2006,246.7,269.05,282.3,242.0,766277.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/8/2006,274.65,270.65,303.4,268.5,1184383.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/11/2006,277.8,254.45,277.8,250.0,246150.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/12/2006,254.15,245.65,268.95,240.1,333136.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/13/2006,249.15,249.85,253.0,241.2,196102.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,37012.682228054895,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/14/2006,252.9,258.7,262.05,250.3,173528.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,74865.73326666055,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/15/2006,260.85,256.55,264.0,255.5,97849.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.1553896723326318,12.389226538428062,0.24652174751502726,-0.46234850751376505,38919.733479523966,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/18/2006,259.2,254.7,259.2,250.3,65579.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-1.0579307842284322,12.389226538428062,0.24652174751502726,-0.46234850751376505,42575.393337214744,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
12/19/2006,252.0,251.75,263.0,251.0,118319.0,-76.35135135135135,20.850000000000023,0.6507571305697524,67.64282471005819,0.550292684710432,-0.8049786461195652,12.389226538428062,0.24652174751502726,-0.46234850751376505,8772.166538101708,0.5,-0.0003097179102059416,0.4293666388836738,254.93250000000003,273.79249999999996,236.0725
